PRN      X           Y            Z          TIME_SEND        OBS_L1       OBS_L2        S_X           S_Y          S_Z           S_VZ      S_VY     S_VZ        SATCLK      TRP    ION EARTH_ROT  RELA   TGD  ELEV  
G02 -2341333.112  -3539049.520 4745791.248  58961    29.930 21093376.809 21093373.553  -3425190.629 -17360562.979  20466189.117  2273.268   937.182  1207.903   -132943.293   2.52   1.25  -6.94   4.45  -3.44 70.89
G05 -2341333.112  -3539049.520 4745791.248  58961    29.922 23468898.502 23468897.683  -1955639.118 -26373963.189   -643906.206   323.296   -84.845  3167.012     -3381.922   6.55   2.87 -13.34  -2.88  -1.43 21.17
G06 -2341333.112  -3539049.520 4745791.248  58961    29.926 22152648.984 22152650.459   7952547.804 -12548464.402  22071905.765  2444.720  1331.417  -119.744    -77152.643   3.71   1.66 -13.99   0.63   2.86 39.94
G12 -2341333.112  -3539049.520 4745791.248  58961    29.933 20163563.023 20163560.581 -10557174.674 -17495182.338  16821667.416   238.437 -2162.559 -2054.590     37939.498   2.44   1.25  -0.88   5.05  -1.75 78.12
G19 -2341333.112  -3539049.520 4745791.248  58961    29.918 24508971.238 24508969.547  17389603.609 -16525962.822  11089375.097  1391.921  -452.463 -2783.449    -50629.053  12.04   3.05 -24.38   5.46  -2.81 11.09
G24 -2341333.112  -3539049.520 4745791.248  58961    29.918 24720253.155 24720256.244 -21356910.496 -14974801.044  -6141929.678   809.918    38.182 -2969.456     -3607.346  11.14   4.88   9.86   2.48   2.64 12.05
G25 -2341333.112  -3539049.520 4745791.248  58961    29.931 20603134.538 20603135.517 -14680314.754  -6394244.559  20995918.971    -6.990 -2715.933  -796.450      -462.118   2.69   1.32   9.00   4.99   3.60 62.36
G29 -2341333.112  -3539049.520 4745791.248  58961    29.924 22795582.315 22795579.953 -22614276.778   1459650.465  13827314.479  1485.747  -951.909  2520.908    -25986.964   4.73   2.26  20.30  -0.86  -1.05 30.19
G31 -2341333.112  -3539049.520 4745791.248  58961    29.918 24486287.794 24486287.448  -7246765.536  13423132.357  21694145.631 -2407.407 -1362.924    83.682    -11258.345  11.21   2.39  13.88   6.47  -2.05 11.97
